所在地 名称(敷地),所在地-1(敷地),棟 名称,階数 地上(棟),階数 地下(棟),用途区分(棟)名
台湾料理　福龍安倍口店,静岡市葵区安倍口新田１６番地の６,台湾料理　福龍安倍口店,1,0,飲食店
静清信用金庫安倍口支店,静岡市葵区安倍口新田１７番地の６,静清信用金庫安倍口支店,2,0,銀行・証券会社等
有限会社静北自動車,静岡市葵区安倍口新田１番地の５,有限会社静北自動車,3,0,工場
有限会社　杉山木工所,静岡市葵区安倍口新田２６９番地の１,有限会社　杉山木工所,1,0,工場
松田店舗,静岡市葵区安倍口新田２７２番地の７,松田店舗,1,0,物品販売店舗
海野真明倉庫,静岡市葵区安倍口新田２７８１０,海野真明倉庫,1,0,倉庫
クロンボ　西ヶ谷店,静岡市葵区安倍口新田３２２番地の１,クロンボ　西ヶ谷店,1,0,飲食店
静岡市農業協同組合内牧支店,静岡市葵区安倍口新田３３０番地の４,静岡市農業協同組合内牧支店　倉庫,2,0,倉庫
有限会社美和青果,静岡市葵区安倍口新田３５１番地１,有限会社美和青果,2,0,作業場
有限会社　永野鉄工所,静岡市葵区安倍口新田３６０番地の３,有限会社　永野鉄工所,2,0,作業場
岡本芳郎倉庫,静岡市葵区安倍口新田３６３番地の１,岡本芳郎倉庫,2,0,倉庫
ソレイユ安倍口,静岡市葵区安倍口新田３７６番地,ソレイユ安倍口,3,0,共同住宅
株式会社　ヨシモト印刷社,静岡市葵区安倍口新田３９３番地,株式会社　ヨシモト印刷社,2,0,作業場
株式会社　ヨシモト印刷社,静岡市葵区安倍口新田３９３番地,株式会社　ヨシモト印刷社　第２棟(新工場),3,0,作業場
株式会社　ヨシモト印刷社,静岡市葵区安倍口新田３９３番地,株式会社　ヨシモト印刷社,3,0,作業場
株式会社ヨシモト印刷社安倍口工場,静岡市葵区安倍口新田３９６番地,株式会社ヨシモト印刷社安倍口工場,2,0,工場
安倍口薬品,静岡市葵区安倍口新田４２４番地の２,安倍口薬品,2,0,特定複合用途
静岡市立安倍口幼稚園,静岡市葵区安倍口新田４３番地の１,静岡市立安倍口幼稚園　園舎,1,0,幼稚園
静岡市立安倍口幼稚園,静岡市葵区安倍口新田４３番地の１,静岡市立安倍口幼稚園　講堂,1,0,幼稚園
株式会社ウィングス２１安倍口プラント,静岡市葵区安倍口新田４５３番地の５,有限会社安倍口ホワイト,2,0,工場
ウエルシア薬局静岡安倍口店,静岡市葵区安倍口新田４５４番地の１,ウエルシア薬局静岡安倍口店,1,0,物品販売店舗
株式会社タミヤ安倍口工場,静岡市葵区安倍口新田４９２番地の１,株式会社タミヤ安倍口工場,2,0,倉庫
株式会社タミヤ安倍口工場,静岡市葵区安倍口新田４９２番地の１,株式会社タミヤ安倍口工場,1,0,倉庫
安倍口パールハイツ,静岡市葵区安倍口新田５００番地の５７,安倍口パールハイツ,2,0,共同住宅
杉山貸店舗,静岡市葵区安倍口新田５０５番地,杉山貸店舗,2,0,飲食店
静岡市立安倍口小学校,静岡市葵区安倍口新田５０番地,静岡市立安倍口小学校（北校舎）,4,0,小学校
静岡市立安倍口小学校,静岡市葵区安倍口新田５０番地,静岡市立安倍口小学校（南校舎）,4,0,小学校
静岡市立安倍口小学校,静岡市葵区安倍口新田５０番地,静岡市立安倍口小学校（体育館）,2,0,小学校
静岡市立安倍口小学校,静岡市葵区安倍口新田５０番地,静岡市立安倍口小学校（プ－ル）,1,0,小学校
鈴木内科医院,静岡市葵区安倍口新田５２６番地の３,鈴木内科医院,2,0,特定複合用途
有限会社　杉山切削工業所,静岡市葵区安倍口新田５２８番地,有限会社　杉山切削工業所,2,0,作業場
㈱ノバック・ＪＦＥエンジニアリング㈱共同,静岡市葵区安倍口新田５３２番地の３,㈱ノバック・ＪＦＥエンジニアリング共同企,2,0,共同住宅
社会福祉法人　ラルシュ・かなの家　,静岡市葵区安倍口新田５３４番地の３,社会福祉法人　ラルシュ・かなの家　めぶき,2,0,障害者共同生活(ハ)
社会福祉法人　ラルシュ・かなの家　,静岡市葵区安倍口新田５３４番地の３,社会福祉法人　ラルシュ・かなの家　つどい,2,0,障害者共同生活(ハ)
静岡市農業協同組合美和支店,静岡市葵区安倍口新田５３７番地の１,静岡市農業協同組合美和支店,2,0,特定複合用途
静岡市農業協同組合美和支店,静岡市葵区安倍口新田５３７番地の１,静岡市農業協同組合美和支所（倉庫）,1,0,倉庫
静岡市農業協同組合美和支店,静岡市葵区安倍口新田５３７番地の１,ＪＡ静岡市女性部販売所アグリロード美和,2,0,作業場
秀英予備校　安倍口校,静岡市葵区安倍口新田５３番地の７,秀英予備校安倍口校,3,0,(１２)項ロ  その他
佐野歯科医院,静岡市葵区安倍口新田５４７番地の１,佐野歯科医院,2,0,特定複合用途
株式会社トラヤ安倍口店,静岡市葵区安倍口新田５７５番地の１,株式会社トラヤ安倍口店,1,0,物品販売店舗
清水部品株式会社安倍口工場倉庫,静岡市葵区安倍口新田５７８番地の１,清水部品株式会社安倍口工場倉庫,2,0,倉庫
平野貸し倉庫,静岡市葵区安倍口新田５７８番地の５,平野貸し倉庫,1,0,倉庫
安倍工業,静岡市葵区安倍口新田５９２番地の６,安倍工業,2,0,作業場
フードマーケット　マム安倍口店,静岡市葵区安倍口新田５９４番地,フードマーケット　マム安倍口店,2,0,マーケット
特定非営利活動法人 風の会 安倍口作業所,静岡市葵区安倍口新田６０１番地の１９,特定非営利活動法人 風の会 安倍口作業所Ａ,2,0,障害者支援施設(ハ)
特定非営利活動法人 風の会 安倍口作業所,静岡市葵区安倍口新田６０１番地の１９,特定非営利活動法人 風の会 安倍口作業所Ｂ,2,0,障害者支援施設(ハ)
サークルＫ静岡安倍口新田店,静岡市葵区安倍口新田６１番地の４,サークルＫ静岡安倍口新田店,1,0,物品販売店舗
障害福祉サービス事業所 多機能型 まどい ,静岡市葵区安倍口新田６５番地の５,障害福祉サービス事業所多機能型まどい,2,0,児童自立支援施設
高橋歯科医院,静岡市葵区安倍口新田６８番地の３,高橋歯科医院,2,0,特定複合用途
ケアホームかなのすまい　こころ,静岡市葵区安倍口新田７４番地の３,ケアホームかなのすまい　こころ,2,0,障害者共同生活援助
国土交通省 中部地方整備局 安倍口宿舎１棟,静岡市葵区安倍口団地１番８号,国土交通省 中部地方整備局 安倍口宿舎１棟,5,0,寄宿舎
国土交通省 中部地方整備局 安倍口宿舎２棟,静岡市葵区安倍口団地１番８号,国土交通省 中部地方整備局 安倍口宿舎２棟,5,0,寄宿舎
静岡市美和児童館,静岡市葵区安倍口団地２番１０号,静岡市美和児童館,1,0,
安倍口団地汚水処理場,静岡市葵区安倍口団地２番９号,安倍口団地汚水処理場（汚水処理場）,2,0,(１５)項  その他
安倍口団地汚水処理場,静岡市葵区安倍口団地２番９号,安倍口団地汚水処理場（管理棟）,1,0,(１５)項  その他
静岡市立安倍口中央こども園,静岡市葵区安倍口団地３番１号,静岡市立安倍口中央こども園,2,0,保育所
県営住宅安倍口団地集会所,静岡市葵区安倍口団地４１８番地の３,県営住宅安倍口団地集会所,1,0,集会場
アカデ美和,静岡市葵区安倍口団地５番１号,アカデ美和,2,0,
安倍口団地第２８号棟,静岡市葵区安倍口団地５番２８号,安倍口団地第２８号棟,5,0,非特定複合用途
安倍口団地３８号棟,静岡市葵区安倍口団地５番３８号,安倍口団地３８号棟,8,0,共同住宅
安倍口団地フレンドストアー（18・19棟）,静岡市葵区安倍口団地５番地の１８,安倍口団地フレンドストアー（１８号棟）,5,0,共同住宅
安倍口団地フレンドストアー（18・19棟）,静岡市葵区安倍口団地５番地の１８,安倍口団地フレンドストアー（１９号棟）,5,0,共同住宅
株式会社山崎工務店（事務所・住宅）,静岡市葵区安倍町２８番地,株式会社山崎工務店,4,0,非特定複合用途
SLEEP STUDIO MOCHIZUKI,静岡市葵区安倍町３０番地,SLEEP STUDIO MOCHIZUKI,4,0,物品販売店舗
佐藤ビル,静岡市葵区安倍町３１番地,佐藤ビル,3,0,事務所
株式会社太田豊吉商店,静岡市葵区安倍町３番地,株式会社太田豊吉商店,2,0,工場
株式会社太田豊吉商店,静岡市葵区安倍町３番地,株式会社太田豊吉商店　倉庫,2,0,倉庫
有限会社オオキ,静岡市葵区安倍町４０番地,有限会社オオキ,3,0,物品販売店舗
メゾン・グランツ駿府浅間,静岡市葵区安倍町５番地の１,メゾン・グランツ駿府浅間,11,0,共同住宅
Ｄ’グランセ駿府Ⅱ,静岡市葵区安倍町９番地の１,Ｄ’グランセ駿府Ⅱ,10,0,共同住宅
海野ビル,静岡市葵区安倍町９番地の１０,海野ビル,3,1,事務所
コーポ海幸,静岡市葵区伊呂波町,コーポ海幸,3,0,共同住宅
株式会社静岡製作所　イエローハウス,静岡市葵区伊呂波町１番３０号,株式会社静岡製作所　イエローハウス,3,0,作業場
しずてつストアいろは店,静岡市葵区伊呂波町３番２８号,しずてつストアいろは店,2,0,マーケット
有限会社望月茶飴本舗伊呂波工場,静岡市葵区伊呂波町３番７号,有限会社望月茶飴本舗伊呂波工場,3,0,工場
日本紙工株式会社,静岡市葵区伊呂波町４番１２号,日本紙工株式会社,2,0,倉庫
フォレストパーク芙蓉　伊呂波町店,静岡市葵区伊呂波町４番１５号,フォレストパーク芙蓉　伊呂波町店,2,0,遊技場
フォレストパーク芙蓉　伊呂波町店,静岡市葵区伊呂波町４番１５号,フォレストパーク芙蓉駐車場,1,0,駐車場
リヴェール,静岡市葵区伊呂波町４番１８号,リヴェール,3,0,共同住宅
吉野荘,静岡市葵区伊呂波町４番１号,吉野荘,2,0,共同住宅
パールハウス,静岡市葵区伊呂波町５番３号,パールハウス,2,0,共同住宅
フローラ・Ｓ,静岡市葵区井宮町１０１番地の５,フローラ・Ｓ,2,0,共同住宅
メゾンサンドゥ,静岡市葵区井宮町１０２番地の１５,メゾンサンドゥ,2,0,共同住宅
すながわこどもクリニック,静岡市葵区井宮町１０３番地の１,すながわこどもクリニック,2,0,診療所
株式会社岩崎功商店　袋詰工場,静岡市葵区井宮町１１９番地,株式会社岩崎功商店　袋詰工場,2,0,工場
今泉機材株式会社,静岡市葵区井宮町１２０番地,今泉機材株式会社,2,0,倉庫
（有）山忠山下商店,静岡市葵区井宮町１２５,（有）山忠山下商店,3,0,作業場
株式会社　南條塾,静岡市葵区井宮町１３０番地の１１,株式会社　南條塾,3,0,(７)項  その他
ロイヤルマンション井宮,静岡市葵区井宮町１３０番地の８,ロイヤルマンション井宮,3,0,共同住宅
株式会社安梅商店,静岡市葵区井宮町１３５番地,株式会社安梅商店,2,0,倉庫
パナハイツ山本,静岡市葵区井宮町１３５番地の２,パナハイツ山本,3,0,共同住宅
株式会社　三坂屋本店,静岡市葵区井宮町１３８番地の４,株式会社　三坂屋本店,3,0,特定複合用途
株式会社　三坂屋本店,静岡市葵区井宮町１３８番地の４,株式会社　三坂屋本店,2,0,非特定複合用途
株式会社　岩崎功商店,静岡市葵区井宮町１４１番地,株式会社　岩崎功商店,4,0,作業場
児童養護施設静岡ホーム,静岡市葵区井宮町１８３番地,児童養護施設静岡ホーム,3,0,児童養護施設
児童養護施設静岡ホーム,静岡市葵区井宮町１８３番地,児童養護施設静岡ホーム　楓ホール,1,0,(６)項ハ　その他
児童養護施設静岡ホーム,静岡市葵区井宮町１８３番地,児童養護施設静岡ホーム　旧学習所,2,0,児童養護施設
